C05488	11-Deoxycortisol
C14798	(1S)-Hydroxy-(2S)-N-acetyl-L-cysteinyl-1,2-dihydronaphthalene
C16221	(2E)-Octadecenoyl-[acp]
C02693	(Indol-3-yl)acetamide
C05451	7alpha-Hydroxy-5beta-cholestan-3-one
C17327	CDP-ascarylose
C16316	13(S)-HOT
C19848	Adenylated molybdopterin
C14869	Trichloroethanol glucuronide
C00105	UMP
C17210	2-(2'-Methylthio)ethylmalic acid
C00780	Serotonin
C15980	(S)-2-Methylbutanoyl-CoA
C07641	Thiotepa
C07303	4-Hydroxy-3-methoxyphenyl-beta-hydroxypropanoyl-CoA
C04006	1D-myo-Inositol 3-phosphate
C02938	3-Indoleacetonitrile
C17345	(25R)-3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA
C21087	3-[(1R,2S,5R,6S)-5-Hydroxy-7-oxabicyclo[4.1.0]heptan-2-yl]-2-oxopropanoate
C06251	Lauroyl-KDO2-lipid IV(A)
C21065	7,8-Dihydroxanthopterin
C05656	5-(3'-Carboxy-3'-oxopropyl)-4,6-dihydroxypicolinate
C05535	alpha-Aminoadipoyl-S-acyl enzyme
C21075	5-(N-Methyl-4,5-dihydro-1H-pyrrol-2-yl)pyridin-2-ol
C14867	Dichloroacetyl chloride
C08613	Torulene
C03064	3-Dehydro-L-threonate
C00075	UTP
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine
C11061	all-trans-Retinoyl-beta-glucuronide
C01279	4-Amino-5-hydroxymethyl-2-methylpyrimidine
C00423	trans-Cinnamate
C04180	cis-Dec-3-enoyl-[acp]
C01909	Dethiobiotin
C20278	(2R,3R)-3-Methylornithinyl-N6-lysine
C06182	Pelletierine
C16533	(13Z,16Z)-Docosadienoic acid
C05747	(R)-3-Hydroxyhexanoyl-[acp]
C00639	Prostaglandin F2alpha
C03590	4-Hydroxyphenylglyoxylate
C01327	Hydrochloric acid
C01001	Formylmethanofuran
C05135	4-(beta-Acetylaminoethyl)imidazole
C20507	Versiconal
C06058	Nitroalkane
C03758	Dopamine
C00726	Nitrile
C11149	Dichloroacetate
C14839	Bromobenzene-3,4-oxide
C02147	Dihydrolipoate
C12354	3,5,7,9,11,13,15,17,19-Nonaoxo-eicosanoyl-[acp]
C00605	2,3-Dehydroacyl-CoA
C19889	LysW-gamma-L-lysine
C06554	Cyanuric acid
C05335	L-Selenomethionine
C20505	Versiconal hemiacetal acetate
C01606	Phthalate
C00063	CTP
C16180	(11Z,14Z)-Icosadienoyl-CoA
C20810	(S)-3-Chloro-beta-tyrosyl-[pcp]
C17240	p-Hydroxybenzyldesulphoglucosinolate
C20062	2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA
C21295	5-Methylphenazine-1-carboxylate
C16518	S-(Indolylmethylthiohydroximoyl)-L-cysteine
C21029	(R)-3-Ureidoisobutyrate
C05895	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)5-D-alanyl-D-alanine
C05519	L-Allothreonine
C05989	3-Oxopropionyl-CoA
C03546	myo-Inositol 4-phosphate
C00433	2,5-Dioxopentanoate
C05995	7-Hydroxy-6-methyl-8-ribityllumazine
C20589	D-Glucosaminate-6-phosphate
C05477	21-Hydroxy-5beta-pregnane-3,11,20-trione
C02050	Linoleoyl-CoA
C20279	(2R,3R)-3-Methylglutamyl-5-semialdehyde-N6-lysine
C00072	Ascorbate
C15874	3,4-Dehydrorhodopin
C16545	Tamoxifen N-oxide
C21473	(1R,5aS,6R)-4a-Hydroxy-1,4,4a,5,5a,6,9,10a-octahydrophenazine-1,6-dicarboxylate
C15803	6alpha-Hydroxy-castasterone
C16652	3-Oxovalproic acid
C20941	L-Anticapsin
C01672	Cadaverine
C17366	(2S,5S)-trans-Carboxymethylproline
C05912	(3Z)-Phycoerythrobilin
C04577	15-OxoETE
C02330	UDP-L-iduronate
C11555	1D-myo-Inositol 1,4,5,6-tetrakisphosphate
C01468	4-Cresol
C17940	Rhizocticin B
C11990	Oleandolide
C15790	Cathasterone
C06653	Erythromycin B
C05588	L-Metanephrine
C14840	Bromobenzene-2,3-oxide
C07715	Fluorene
C06793	Vinyl chloride
C01198	3-(2-Hydroxyphenyl)propanoate
C20986	D-Ribose 2,5-bisphosphate
C02835	Imidazole-4-acetate
C16254	[Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine
C17331	7alpha,24-Dihydroxy-4-cholesten-3-one
C06880	Cefazolin
C20897	Glycerophosphoglycoglycerolipid
C04479	2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate
C21961	(11Z,14Z,17Z,20Z)-Hexacosatetraenoyl-CoA
C06571	Chlortetracycline
C05787	Bilirubin beta-diglucuronide
C16159	2-Formylglutarate
C01220	1D-myo-Inositol 1,4-bisphosphate
C22102	Staphyloferrin A
C05270	Hexanoyl-CoA
C05474	3alpha,11beta,21-Trihydroxy-20-oxo-5beta-pregnan-18-al
C00015	UDP
C03309	Strictosidine aglycone
C00836	Sphinganine
C12631	2-Hydroxy-2,3-dihydrogenistein
C03198	(S)-4-Hydroxymandelate
C00038	Zinc cation
C11455	4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol
C01759	Ribostamycin
C03319	dTDP-L-rhamnose
C16560	3-Hydroxylidocaine
C01111	7,8-Dihydroxykynurenate
C18022	Red chlorophyll catabolite
C03069	3-Methylcrotonyl-CoA
C07163	Methadone
C17228	2-Oxo-9-methylthiononanoic acid
C05259	3-Oxopalmitoyl-CoA
C05512	Deoxyinosine
C16551	Alcophosphamide
C03772	5beta-Androstane-3,17-dione
C14153	alpha-Tocotrienol
C06482	L-Selenocysteinyl-tRNA(Sec)
C15651	2-Hydroxy-3-keto-5-methylthiopentenyl-1-phosphate
C06616	Erythromycin C
C02079	Staurosporine
C01725	Levanbiose
C15903	Spheroidenone
C05593	3-Hydroxyphenylacetate
C11912	dTDP-6-deoxy-D-allose
C16582	2-Hydroxyfelbamate
C06578	p-Cumate
C22072	2-[(L-Alanin-3-ylcarbamoyl)methyl]-2-hydroxybutanedioate
C05478	3alpha,21-Dihydroxy-5beta-pregnane-11,20-dione
C17239	p-Hydroxyphenylacetothiohydroximate
C05575	Hercynine
C06026	KDO2-lipid A
C17701	Gentamicin A2
C05608	4-Hydroxycinnamyl aldehyde
C11907	dTDP-4-oxo-6-deoxy-D-glucose
C06735	Aminoacetaldehyde
C11544	2-O-(alpha-D-Mannosyl)-D-glycerate
C19764	9,15,9'-tricis-zeta-Carotene
C02970	Decaprenol phosphate
C11499	(S)-3-Sulfolactate
C00381	Dolichol
C00357	N-Acetyl-D-glucosamine 6-phosphate
C20372	3-Ketoglutaryl-[acp] methyl ester
C03460	2-Methylprop-2-enoyl-CoA
C01262	beta-Alanyl-N(pi)-methyl-L-histidine
C04635	1-(1-Alkenyl)-sn-glycero-3-phosphoethanolamine
C00847	4-Pyridoxate
C19961	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine
C03741	(S)-4-Amino-5-oxopentanoate
C01197	Caffeate
C06215	Levan
C22159	[Glycine cleavage system H]-N6-octanoyl-L-lysine
C07084	Styrene-cis-2,3-dihydrodiol
C18161	Bacteriochlorophyllide c
C01230	all-trans-Hexaprenyl diphosphate
C20790	7-Deoxyloganetin
C16526	Icosenoic acid
C03917	Dihydrotestosterone
C11363	Sulfobromophthalein
C20792	Oleoylethanolamide
C17229	Pentahomomethionine
C20680	2-Dehydro-3-deoxy-L-galactonate
C07349	3'-Demethylstaurosporine
C00670	sn-Glycero-3-phosphocholine
C00011	CO2
C06714	3-Hydroxypimeloyl-CoA
C21480	1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine
C16424	Isopentenyladenosine-5'-triphosphate
C14799	(1R,2R)-3-[(1,2-Dihydro-2-hydroxy-1-naphthalenyl)thio]-2-oxopropanoic acid
C16674	Formylisoglutamine
C20247	2-(2-Carboxy-4-methylthiazol-5-yl)ethyl phosphate
C00254	Prephenate
C00128	CMP-N-acetylneuraminate
C06387	4-Chlorobenzoyl-CoA
C21144	1,3,7-Trimethyl-5-hydroxyisourate
C15883	2,3-Dimethyl-5-phytylquinol
C03541	THF-polyglutamate
C21338	Calicheamicin T0
C05340	beta-Alanyl-L-arginine
C05638	5-Hydroxykynurenamine
C04748	Protein C-terminal S-farnesyl-L-cysteine methyl ester
C12388	Premithramycin B
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]
C21411	(1R,10aS)-1,4,10,10a-Tetrahydrophenazine-1-carboxylate
C20499	(1'S)-Averantin
C06473	2-Keto-D-gluconic acid
C12483	Pyrrole-2-carbonyl-[pcp]
C00395	Penicillin
C11832	Divinyl chlorophyllide a
C17703	Antibiotic G-418
C00844	Prunasin
C06441	L-Xylulose 1-phosphate
C03233	4,5-Dihydroxyphthalate
C00865	Phospholipid
C11978	5-Oxoavermectin ''1a'' aglycone
C05683	Ciliatocholate
C05449	3alpha,7alpha-Dihydroxy-5beta-24-oxocholestanoyl-CoA
C03242	Dihomo-gamma-linolenate
C21128	O-Demethyl-N-demethyl-staurosporine
C21109	Aminopyrrolnitrin
C03077	4-Chlorophenylacetate
C06179	Hygrine
C00151	L-Amino acid
C05925	Dihydroneopterin phosphate
C06024	3-Deoxy-D-manno-octulosonyl-lipid IV(A)
C01267	3-(Imidazol-4-yl)-2-oxopropyl phosphate
C14862	2-S-Glutathionyl acetate
C18295	Pretetramid
C11243	Bacteriochlorophyll b
C02430	L-Methionyl-tRNA
C07662	Sparfloxacin
C01746	Piperidine
C00093	sn-Glycerol 3-phosphate
C05268	(S)-Hydroxyhexanoyl-CoA
C05767	Uroporphyrin I
C00186	(S)-Lactate
C15986	2,6-Dihydroxypseudooxynicotine
C00001	H2O
C02465	Triiodothyronine
C05859	Dehydrodolichol diphosphate
C12318	dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose
C18154	3-Hydroxyethylchlorophyllide a
C21307	3,4-Dihydro-7-hydroxy-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carboxylate
C21347	5-Iodo-2,3-dimethoxyorsellinate-[acp]
C11983	Avermectin B1a
C15857	9,9'-dicis-zeta-Carotene
C00664	5-Formiminotetrahydrofolate
C02412	Glycyl-tRNA(Gly)
C16623	Isonicotinylglycine
C16620	6-Methylthioguanosine monophosphate
C05954	Prostaglandin B2
C04437	1-(5-Phosphoribosyl)imidazole-4-acetate
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate
C06459	N-Trimethyl-2-aminoethylphosphonate
C05239	5-Aminoimidazole
C19701	Rebeccamycin
C06577	4-Isopropylbenzaldehyde
C04822	8(R)-HPETE
C07888	Cyclophosphamide
C12739	5'-Deoxy-5-fluorouridine
C05604	2-Carboxy-2,3-dihydro-5,6-dihydroxyindole
C00504	Folate
C06481	L-Seryl-tRNA(Sec)
C04599	1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine
C02295	Methylitaconate
C19589	Aflatoxin B1 dialdehyde
C05437	Zymosterol
C00512	Benzoyl-CoA
C16218	(2E)-Octadecenoyl-CoA
C01346	dUDP
C20956	alpha-D-Sedoheptulopyranose 7-phosphate
C17223	3-(5'-Methylthio)pentylmalic acid
C05933	N(omega)-Hydroxyarginine
C20639	O-Ureido-L-serine
C05380	Nicotinurate
C19871	Guanylyl molybdenum cofactor
C00394	GDP-glucose
C01179	3-(4-Hydroxyphenyl)pyruvate
C00296	Quinate
C02937	Indole-3-acetaldehyde oxime
C14802	1-Nitronaphthalene-7,8-oxide
C19581	alpha-[3-(Nitrosoamino)propyl]-3-pyridinemethanol
C21640	6-(1'-Hydroxy-2'-oxopropyl)-tetrahydropterin
C20781	2,4-Diketo-3-deoxy-L-fuconate
C20563	Brevianamide F
C19814	Terpentetriene
C20842	2-Hydroxy-7-methoxy-5-methyl-1-naphthoyl-CoA
C01074	N-Acetylgalactosamine
C07593	Rotenone
C06311	Galactitol 1-phosphate
C20630	Fumitremorgin B
C01124	18-Hydroxycorticosterone
C21971	5-Amino-5-(4-hydroxybenzyl)-6-(D-ribitylimino)-5,6-dihydrouracil
C01110	5-Amino-2-oxopentanoic acid
C12389	Mithramycin
C02537	Estradiol-17alpha
C19886	LysW-gamma-L-alpha-aminoadipate
C16609	Didemethylcitalopram
C18002	5-Ribosylparomamine
C03112	Deacetylcephalosporin C
C02091	(S)-Ureidoglycine
C14845	4-Bromophenol-2,3-epoxide
C07130	Theophylline
C07656	Gentamicin C1
C07535	Benzo[a]pyrene
C12463	beta-Keto-L-tyrosyl-[pcp]
C16357	3-Methylxanthine
C02614	(S)-2-Methylmalate
C16619	6-Thioguanosine monophosphate
C14143	Adipyl-CoA
C16633	5-Fluorouridine
C00719	Betaine
C15930	L-Galactonate
C18218	16-Hydroxypalmitate
C20357	UDP-N,N'-Diacetylbacillosamine
C01989	3-Ethylmalate
C01368	3'-UMP
C16664	Tryparedoxin disulfide
C07051	Indinavir
C00459	dTTP
C15979	[Dihydrolipoyllysine-residu
C14315	Anthracene
C03434	Tetrachlorohydroquinone
C06509	Adenosyl cobinamide phosphate
C11036	Bromobenzene
C16421	AI-2
C00231	D-Xylulose 5-phosphate
C04832	Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide
C20288	N-Sulfonyloxy-PhIP
C21084	Demethylphylloquinol
C00927	Isonocardicin A
C07102	5-Chloro-1,2,4-trihydroxybenzene
C06153	scyllo-Inositol
C21641	Hydroperoxyl radical
C22136	Zymosterone
C05454	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane
C05803	2-Hexaprenyl-6-methoxy-1,4-benzoquinone
C03547	omega-Hydroxy fatty acid
C17583	6'-Dehydro-6'-oxoparomamine
C03287	L-Glutamyl 5-phosphate
C17692	2-epi-5-epi-Valiolone 7-phosphate
C03125	L-Cysteinyl-tRNA(Cys)
C02405	Formyl phosphate
C11900	Baccatin III
C09332	THF-L-glutamate
C22084	1-Carboxybiuret
C15972	Enzyme N6-(lipoyl)lysine
C06167	1,2-Dehydroreticuline
C00400	(-)-Menthol
C01596	Maleamate
C15614	(24R,25R)-3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestanoyl-CoA
C03920	2-(Methylthio)ethanesulfonate
C00831	Pantetheine
C17010	Dehypoxanthine futalosine
C02527	Butanoylphosphate
C12442	C-9 Reduced nonaketamide
C03906	beta-L-Arabinose 1-phosphate
C00366	Urate
C18631	Nogalavinone
C05689	Se-Methyl-L-selenocysteine
C15852	Angiotensi
C05269	3-Oxohexanoyl-CoA
C06146	3-Butyn-1-ol
C01020	6-Hydroxynicotinate
C03012	Naphthalene-1,2-diol
C08586	delta-Carotene
C00483	Tyramine
C00691	2,4,6/3,5-Pentahydroxycyclohexanone
C08060	Carbazole
C20953	3-[(4R)-4-Hydroxycyclohexa-1,5-dien-1-yl]-2-oxopropanoate
C17237	S-(Phenylacetothiohydroximoyl)-L-cysteine
C07213	2-Methylbenzyl alcohol
C21264	5'''-epi-Lividomycin B
C07649	5-FU
C18331	7,9,12-Decaketide intermediate 2
C16845	Peroxynitrite
C06160	(S)-Norcoclaurine
C16432	5-Hydroxyectoine
C20444	Dihydrodemethylsterigmatocystin
C02918	1-Methylnicotinamide
C00322	2-Oxoadipate
C05349	Ciprofloxacin
C00230	3,4-Dihydroxybenzoate
C03325	(6S)-Hydroxyhyoscyamine
C12470	L-Prolyl-[pcp]
C05926	Neopterin
C11922	dTDP-4-oxo-2,6-dideoxy-D-glucose
C04260	O-D-Alanyl-poly(ribitol phosphate)
C16173	(4Z,7Z,10Z,13Z,16Z)-Docosapentaenoyl-CoA
C15547	1,4-Dihydroxy-2-naphthoyl-CoA
C06032	D-erythro-3-Methylmalate
C00958	Plasmenylcholine
C03964	(R)-3-(4-Hydroxyphenyl)lactate
C05993	Acetyl adenylate
C07097	2,6-Dichlorohydroquinone
C17704	Antibiotic JI-20A
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole
C16074	Phenylacetonitrile
C21947	Paullinoyl-CoA
C19378	Cyclamate
C11915	dTDP-3-methyl-4-oxo-2,6-dideoxy-L-allose
C00310	D-Xylulose
C21760	Isonicotinoyl-NADP adduct
C00302	Glutamate
C11829	13(1)-Hydroxy-magnesium-protoporphyrin IX 13-monomethyl ester
C16591	3-Carbamoyl-2-phenylpropionic acid
C03656	(S)-5-Amino-3-oxohexanoic acid
C01902	Cycloartenol
C06593	epsilon-Caprolactam
C16600	(-)-threo-Iso(homo)3-citrate
C05927	7,8-Dihydromethanopterin
C17530	Methyl acetate
C16658	2-Propylglutaric acid
C00577	D-Glyceraldehyde
C00974	Dihydrokaempferol
C00166	Phenylpyruvate
C00379	Xylitol
C16263	2,3-Dihydroxy-2'-carboxybiphenyl
C12434	(S)-DNPA
C18904	Methylselenopyruvate
C14819	Fe3+
C13856	2-Arachidonoylglycerol
C14868	S-(1,2-Dichlorovinyl)glutathione
C14899	3-Dehydro-L-gulonate 6-phosphate
C03968	1-Alkyl-sn-glycero-3-phosphate
C06661	Clavulanate-9-aldehyde
C00488	Formamide
C20690	1D-myo-Inositol 1,5-bis(diphosphate) 2,3,4,6-tetrakisphosphate
C05849	Vitamin K1 epoxide
C02341	trans-Aconitate
C06548	Ethylene oxide
C04477	1D-myo-Inositol 1,3,4,6-tetrakisphosphate
C06019	D-arabino-Hex-3-ulose 6-phosphate
C03240	6-Deoxyerythronolide B
C21258	4'-Oxonebramine
C19852	tritrans,heptacis-Undecaprenyl diphosphate
C21941	(7Z,10Z,13Z)-Docosatrienoyl-CoA
C00436	N-Carbamoylputrescine
C05272	trans-Hexadec-2-enoyl-CoA
C03082	4-Phospho-L-aspartate
C16528	Docosanoyl-CoA
C00486	Bilirubin
C00179	Agmatine
C11277	Adefovir
C08012	Levomethadyl acetate
C11468	3,4-Dihydro-7-methoxy-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carboxylic acid
C05810	2-Octaprenylphenol
C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide
C08492	3-Hexenol
C00095	D-Fructose
C06315	Lipoxin B4
C00103	D-Glucose 1-phosphate
C13431	9'-cis-Neoxanthin
C01380	Ethylene glycol
C11911	dTDP-D-desosamine
C05903	Kaempferol
C19725	UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronate
C00074	Phosphoenolpyruvate
C01753	beta-Sitosterol
C01457	Tylosin
C21070	(4-{4-[2-(gamma-L-Glutamylamino)ethyl]phenoxymethyl}furan-2-yl)methanamine
C04042	20alpha-Hydroxy-4-pregnen-3-one
C05802	2-Hexaprenyl-6-methoxyphenol
C05610	Sinapoyl aldehyde
C20440	alpha-D-Ribose 1,2-cyclic phosphate 5-phosphate
C01834	Lipoprotein
C05794	Urobilin
C19799	Bis(1L-myo-inositol)-3,1'-phosphate 1-phosphate
C11638	3-Amino-2-oxopropyl phosphate
C21451	Poly(ethylene terephthalate)
C01739	Nocardicin E
C01251	(R)-2-Hydroxybutane-1,2,4-tricarboxylate
C04805	5(S)-HETE
C05817	(1R,6R)-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate
C06428	(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid
C06723	6-Carboxyhex-2-enoyl-CoA
C05827	Methylimidazole acetaldehyde
C20651	O-Ureido-D-serine
C12467	2-Hydroxy-beta-keto-L-tyrosyl-[pcp]
C05141	Estriol
C04188	S-Methyl-5-thio-D-ribose 1-phosphate
C00337	(S)-Dihydroorotate
C11821	5-Hydroxyisourate
C05797	Pheophytin a
C01226	12-OPDA
C05396	Lactose 6'-phosphate
C11997	Narbonolide
C03979	2-Dehydro-3-deoxy-L-rhamnonate
C03056	2,6-Dihydroxypyridine
C14779	9(S)-HETE
C07029	N-Acetyl-N6,O-didemethylpuromycin-5'-phosphate
C03621	N-Acetoxy-4-aminobiphenyl
C06048	Stizolobinate
C21154	N-Methylmyosmine
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine
C05835	2-Formaminobenzoylacetate
C06507	Adenosyl cobyrinate hexaamide
C12023	Undecylprodigiosin
C05946	(4R)-4-Hydroxy-2-oxoglutarate
C05594	3-Methoxy-4-hydroxyphenylethyleneglycol
C00805	Salicylate
C00029	UDP-glucose
C00305	Magnesium cation
C05703	Methaneselenol
C21085	3-[(1E,4R)-4-Hydroxycyclohex-2-en-1-ylidene]-2-oxopropanoate
C03127	L-Isoleucyl-tRNA(Ile)
C04106	2-(Hydroxymethyl)-4-oxobutanoate
C06089	ent-Copalyl diphosphate
C20373	3-Hydroxyglutaryl-[acp] methyl ester
C14829	12,13-DHOME
C08300	D-Cathine
C03406	N-(L-Arginino)succinate
C00338	Lipopolysaccharide
C05306	Chlorophyll a
C04468	(+)-cis-3,4-Dihydrophenanthrene-3,4-diol
C06510	Adenosine-GDP-cobinamide
C03294	N-Formylmethionyl-tRNA
C01180	4-Methylthio-2-oxobutanoic acid
C16041	Leu-enkephalin
C15798	6-Deoxocathasterone
C05936	N4-Acetylaminobutanal
C16543	NPC
C09731	Epigallocatechin 3-gallate
C14836	9,10-12,13-Diepoxyoctadecanoate
C01455	Toluene
C00383	Malonate
C14846	4-Bromo-3,5-cyclohexadiene-1,2-dione
C02457	Propane-1,3-diol
C00886	L-Alanyl-tRNA
C05404	D-Gal alpha 1->6D-Gal alpha 1->6D-Glucose
C06040	Diglucosyldiacylglycerol
C00092	D-Glucose 6-phosphate
C04556	4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine
C16332	trans-2-Enoyl-OPC6-CoA
C21306	3,4-Dihydro-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carboxylate
C21071	dTDP-3-O-methyl-4-oxo-2,6-dideoxy-L-mannose
C20283	1-(3,4-Dihydroxyphenylazo)-2-naphthol
C07646	Carboxyphosphamide
C16210	4-(3-Hydroxy-2-naphthyl)-2-oxobut-3-enoic acid
C04637	1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate
C03955	N6-Acetyl-N6-hydroxy-L-lysine
C00353	Geranylgeranyl diphosphate
C06615	cis-3-Chloroacrylic acid
C02939	3-Methylbutanoyl-CoA
C03044	(R,R)-Butane-2,3-diol
C03539	S-Ribosyl-L-homocysteine
C18174	Carboxynorspermidine
C02930	2-Methyleneglutarate
C07492	Oxcarbazepine
C00263	L-Homoserine
C06205	1,2-Dihydronaphthalene-1,2-diol
C06614	trans-3-Chloroacrylic acid
C19845	Pimeloyl-[acyl-carrier protein]
C06731	1,2-Dihydroxy-6-methylcyclohexa-3,5-dienecarboxylate
C20295	Chromiu
C00035	GDP
C14876	S-(2-Hydroxyethyl)-N-acetyl-L-cysteine
C08357	Estradiol-17beta 3-sulfate
C16153	UDP-L-Ara4N
C19585	Aflatoxin Q1
C09306	Sulfur dioxide
C02051	Lipoylprotein
C04308	Phosphatidyl-N-dimethylethanolamine
C17212	3-(2'-Methylthio)ethylmalic acid
C17943	Formylphosphonate
C00729	Tropine
C04773	3-Hydroxy-4-hydroxymethyl-2-methylpyridine-5-carboxylate
C04092	Delta1-Piperideine-2-carboxylate
C00156	4-Hydroxybenzoate
C05921	Biotinyl-5'-AMP
C20290	N-Acetoxy-IQ
C03611	Galactose oligosaccharide
C17233	Hexahomomethionine
C16376	(6Z,9Z,12Z,15Z,18Z,21Z)-3-Oxotetracosahexaenoyl-CoA
C05471	11beta,17alpha,21-Trihydroxy-5beta-pregnane-3,20-dione
C03201	1-Alkyl-2-acylglycerol
C20783	Propane
C02076	Sedoheptulose
C07731	2-Hydroxy-6-oxo-6-(2-hydroxyphenyl)-hexa-2,4-dienoate
C21797	all-trans-3,4-Didehydroretinol
C16255	[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine
C02331	Vinylacetyl-CoA
C12383	Premithramycinone
C09629	beta-Caryophyllene
C02348	(R)(-)-Allantoin
C20503	1'-Hydroxyversicolorone
C17255	3-Methylbutyraldehyde oxime
C20317	S-(1,2-Dichlorovinyl)-L-cysteine
C01682	Nopaline
C00674	5alpha-Androstane-3,17-dione
C02301	O-Acylcarnitine
C05619	5-Hydroxyferulic acid methyl ester
C18336	7,12-Decaketide intermediate 1
C20300	Dimethylarsinous acid
C21217	Geranylgeranyl bacteriochlorophyllide a
C03935	6beta-Hydroxy-17beta-estradiol
C18000	Nebramycin factor 4
C03752	2-Amino-2-deoxy-D-gluconate
C21328	(R)-2-Aza-3-chloro-beta-tyrosyl-[pcp]
C08358	2-Methoxyestrone 3-sulfate
C17621	(6E)-8-Hydroxygeraniol
C06810	Aciclovir
C01789	Campesterol
C14772	5,6-DHET
C06588	Biphenyl
C00106	Uracil
C05375	2-Hydroxy-2-hydropyrone-4,6-dicarboxylate
C17220	2-Oxo-7-methylthioheptanoic acid
C02124	4-Chlorophenol
C02041	Eicosanoyl-CoA
C00148	L-Proline
C16517	Indolylmethyl-desulfoglucosinolate
C05267	3-Oxooctanoyl-CoA
C02106	(S)-Scoulerine
C07201	Vinblastine
C00086	Urea
C03885	3-Nonaprenyl-4-hydroxybenzoate
C05814	2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone
C04392	P1,P4-Bis(5'-xanthosyl) tetraphosphate
C21994	1-Dephospho-KDO2-lipid A
C03087	5-Acetamidopentanoate
C10497	Feruloylputrescine
C16238	Lipoyl-AMP
C15898	Demethylspheroidene
C20859	Galactosyl-1-alkyl-2-acylglycerol
C03393	4-Phospho-D-erythronate
C21428	12-Ethyl-8-propyl-3-vinylbacteriochlorophyllide d
C01270	3-Hydroxy-2-methylpyridine-5-carboxylate
C05699	L-Selenocystathionine
C16542	APC
C05501	20alpha,22beta-Dihydroxycholesterol
C16583	(R)-(Homo)2-citrate
C21431	8-Ethyl-12-methylbacteriochlorophyllide d
C05584	3-Methoxy-4-hydroxymandelate
C01011	(3S)-Citramalyl-CoA
C12145	Phytoceramide
C00077	L-Ornithine
C01494	Ferulate
C00191	D-Glucuronate
C00233	4-Methyl-2-oxopentanoate
C02004	Aristolochene
C06028	2-Methylfumaryl-CoA
C04181	3-Hydroxy-3-methyl-2-oxobutanoic acid
C14855	4,5-Dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene
C21390	Butane
C16663	Tryparedoxin
C05212	1-Radyl-2-acyl-sn-glycero-3-phosphocholine
C05786	(3Z)-Phycocyanobilin
C21027	N-Acetylmuramic acid alpha-1-phosphate
C02400	Demethylmacrocin
C02739	1-(5-Phospho-D-ribosyl)-ATP
C17706	Gentamicin C2b
C21309	(S)-beta-Tyrosyl-[pcp]
C05769	Coproporphyrin I
C13809	9,11,15-Trihydroxy-prosta-5,13-dien-1-oic acid
C05290	19-Hydroxyandrost-4-ene-3,17-dione
C20399	Pentalenolactone D
C01044	N-Formyl-L-aspartate
C00159	D-Mannose
C17222	2-(5'-Methylthio)pentylmalic acid
C00966	2-Dehydropantoate
C01131	L-Rhamnulose 1-phosphate
C15974	3-Methyl-1-hydroxybutyl-ThPP
C16688	Sucrose 6-phosphate
C06752	1,2-Dichloroethane
C00041	L-Alanine
C15767	4-(L-gamma-Glutamylamino)butanoate
C05678	(2-Amino-1-hydroxyethyl)phosphonate
C08606	Neoxanthin
C06671	2,4-Dichlorobenzoyl-CoA
C06037	Digalactosyl-diacylglycerol
C01845	Propan-2-ol
C01967	Ubiquinone-9
C05281	5-Methylbarbiturate
C04297	CDP-4-dehydro-3,6-dideoxy-D-glucose
C03263	Coproporphyrinogen III
C21430	Malonamoyl-[acyl-carrier protein]
C05758	trans-Dodec-2-enoyl-[acp]
